"topik","contentSnippet"
"ekonomi","Kemnaker mencatat karyawan yang terkena PHK massal Group Sritex mencapai 10 ribu. PHK terbanyak di pabrik Sukoharjo, yakni 8.504 buruh."
"ekonomi","Nilai tukar rupiah dibuka melemah 0,59 persen ke Rp16.550 per dolar AS pada perdagangan pasar spot pada Jumat (28/2) pagi."
"ekonomi","Seluruh karyawan Sritex yang mencapai 8.400 orang terkena PHK pada Rabu (26/2) dan perusahaan akan tutup per 1 Maret 2025."
"ekonomi","Menteri Pariwisata (Menpar) Widiyanti Putri Wardhana melobi pihak hotel dan restoran agar tak melakukan pemutusan hubungan kerja (PHK) massal."
"ekonomi","Pemprov DKI Jakarta akan memperluas layanan transportasi umum gratis. Ada 15 golongan warga yang akan gratis naik Transjakarta, MRT dan LRT."
"ekonomi","Cara cek lokasi faskes 1 BPJS Kesehatan tempat kita terdaftar cukup mudah. Peserta bisa mengeceknya secara online sehingga tak perlu repot ke kantor cabang."
"ekonomi","Diskon 50 persen token listrik PLN berakhir hari ini (28/2). Token tak akan hangus meski diinput pada masa promo berakhir."
"ekonomi","Kisah kelam Chernobyl hingga Fukushima membayangi ambisi bangun PLTN di 2032. Bahayanya dinilai tidak setara dengan iming-iming energi murah berbasis nuklir."
"ekonomi","Bulog memperkiran Indonesia akan surplus beras sekitar 2,6 juta pada Maret atau Ramadhan usai defisit sejak awal tahun."
"ekonomi","Presiden Prabowo Subianto meresmikan layanan bank emas atau bullion bank pertama di Indonesia pada Rabu (27/2) kemarin."
"ekonomi","Basuki Tjahaja Purnama (Ahok) mengaku bersedia untuk dimintai keterangan oleh Kejagung terkait kasus korupsi tata kelola minyak minyak mentah periode 2018-2023."
"ekonomi","IHSG masih berpotensi mengalami tekanan hari ini (28/2), namun dampaknya diperkirakan akan lebih terbatas."
"ekonomi","Menteri ESDM Bahlil Lahadalia meminta kepala daerah permudah izin perusahaan untuk eksplorasi migas demi mewujudkan misi Presiden Prabowo soal ketahanan energi."
"ekonomi","Disperinaker Sukoharjo menuturkan seluruh karyawan PT Sritex resmi terkena PHK per Rabu (26/2) menyusul perusahaan yang tutup total per tanggal 1 Maret 2025."
"ekonomi","Gubernur Jawa Timur Khofifah Indar Parawansa mengimbau masyarakat untuk tidak panic buying jelang Ramadan."
"ekonomi","Cak Imin bersama Bahlil tengah merancang pola subsidi energi yang tepat buntut dugaan beredarnya BBM oplosan."
"ekonomi","Pemadaman listrik besar-besaran melanda sejumlah daerah di Chile. Pemerintah mengumumkan keadaan darurat buntut masalah itu."
"ekonomi","Basuki Tjahaja Purnama alias Ahok buka suara soal kemungkinan dipanggil Kejaksaan Agung (Kejagung) dalam kasus impor minyak mentah."
"ekonomi","Kepala BGN Dadan Hindayana menegaskan program makan bergizi gratis (MBG) dibayar oleh badannya yang bersumber dari APBN."
"ekonomi","Adik Presiden Prabowo Subianto, Hashim Djojohadikusumo menyebut Jerman ambil alih pimpinan JETP usai AS hengkang dari kemitraan tersebut."
"ekonomi","Kementerian Ketenagakerjaan (Kemnaker) membantah banyak perusahaan sengaja melakukan pemutusan hubungan kerja (PHK) sebelum puasa."
"ekonomi","PT Jasa Raharja meraup laba bersih sebesar Rp1,3 triliun sepanjang 2024."
"ekonomi","Komisi XII DPR RI menegaskan pemerintah rutin melakukan uji lab untuk memastikan kualitas BBM yang beredar di lapangan sesuai dengan standar."
"ekonomi","Cara membatalkan tiket kereta api secara online bisa dilakukan dengan dua cara, yakni melalui aplikasi KAI Access dan website resmi."
"ekonomi","Menko Cak Imin menyebut lembaga zakat dan filantropi akan diwajibkan memakai Data Tunggal Sosial Ekonomi (DTSEN) milik pemerintah."
"ekonomi","Badan Pemeriksa Keuangan (BPK) tengah melakukan audit coretax alias sistem perpajakan canggih milik Indonesia senilai Rp1,3 triliun."
"ekonomi","Kemnaker berjanji akan mengumumkan kebijakan pemberian tunjangan hari raya (THR) pada pengemudi ojek online (ojol) paling lambat dua pekan lagi."
"ekonomi","OJK mencatat perdagangan bursa karbon mencapai Rp76,56 miliar per 24 Februari 2025 atau setara dengan volume transaksi 1.557.326 ton CO2 ekuivalen."
"ekonomi","Menteri ESDM Bahlil Lahadalia meminta masyarakat tak perlu khawatir dengan produk PT Pertamina (Persero) di tengah maraknya isu BBM oplosan."
"ekonomi","Kepala Badan Gizi Nasional (BGN) Dadan Hindayana mewajibkan penyedia makan bergizi gratis untuk mengupload makanan yang mereka akan sajikan di media sosial."
"ekonomi","Kementerian Investasi/BKPM menyebut keberadaan Rosan Roeslani di Danantara dan BKPM penting demi konsolidasi cepat dua lembaga dalam genjot investasi."
"ekonomi","Peserta BPJS Kesehatan mandiri yang merasa berhak menerima bantuan JKN-KIS dapat mengajukan diri menjadi peserta PBI. Namun ada syarat yang harus dipenuhi."
"ekonomi","Indeks harga saham gabungan (IHSG) ditutup merosot 1,83 persen ke 6.485,44 pada Kamis (27/2) sore."
"ekonomi","Menteri ESDM Bahlil Lahadalia mengatakan HBA akan memberikan kepastian harga batu bara Indonesia yang lebih baik dibandingkan menggunakan harga acuan luar."
"ekonomi","Kilang Cilacap PT Pertamina (Persero) mengalami kebakaran pada Kamis (27/2)."
"ekonomi","Menteri Keuangan Sri Mulyani akan menjadi salah satu anggota Dewan Pengawas Danantara."
"ekonomi","Rupiah ditutup di level Rp16.454 per dolar AS pada Kamis (27/2) atau melemah 0,45 persen dibandingkan penutupan perdagangan sebelumnya."
"ekonomi","Karyawan Sritex mulai mengisi surat PHK agar bisa segera mengurus dana Jaminan Kehilangan Pekerjaan dan pesangon."
"ekonomi","AS, China dan Rusia mengajukan proposal untuk membangun pembangkit nuklir di Indonesia, dengan bermitra dengan Kadin."
"ekonomi","BPK menyebut angka kerugian Rp193,7 triliun dalam dugaan kasus korupsi tata kelola minyak mentah masih sementara."
"ekonomi","Menteri ESDM Bahlil bakal sidak ke beberapa SPBU besok (28/2) untuk mengambil sample BBM buntut dugaan adanya bahan bakar oplosan yang beredar."
"ekonomi","DPR menilai UU Migas sudah terlalu lama dan banyak aturan yang sudah tidak relevan, terutama terkait pengawasan sehingga kerap terjadi celah untuk curang."
"ekonomi","DPR mendatangi SPBU Pertamina dan Shell yang ada di Cibubur, Depok, pada Kamis (27/2) untuk mengambil sampel BBM imbas adanya dugaan korupsi minyak mentah."
"ekonomi","Abon Cap Koki, UMKM Purbalingga, tunjukkan potensi tembus pasar global lewat inovasi produk dan partisipasi di BRI UMKM EXPO(RT) 2025."
"ekonomi","Upah minimum di Provinsi Daerah Istimewa Yogyakarta (DIY) mengalami kenaikan pada 2025. Segini besaran UMP, UMK, dan UMSP Jogja 2025."
"ekonomi","Zulhas menyebut peran penelitian untuk menghasilkan bibit unggul padi hingga tebu amat dibutuhkan, bahkan negara lain sudah punya bibit GMO."
"ekonomi","Ramadan Berbagi dari Electronic City terdiri dari berbagai program spesial, mulai pembagian takjil hingga program Ngabuburit (Ngabulin Kebutuhan dan Tetap Irit)."
"ekonomi","Presdir Freeport Indonesia Tony Wenas mengungkap perusahaannya belum bisa mengekspor konsentrat tembaga karena izin belum terbit."
"ekonomi","BPK mengungkap kelakuan nakal kementerian/lembaga (K/L), sebelum adanya perintah efisiensi dari Presiden Prabowo Subianto."
"ekonomi","Pasar Tasik, salah satu tempat masyarakat ibu kota berburu fesyen mulai dari pakaian, alas kaki hingga gamis dan mukena ramai menjelang Ramadan 1466 Hijriah."
"ekonomi","Pemerintah memiliki Fasilitas Instalasi Karantina Hewan di Purwakarta yang bisa dipakai untuk mengarantina sapi impor asal Australia."
"ekonomi","BBM Pertamina secara berkala diuji dan diawasi secara ketat oleh Kementerian ESDM melalui Balai Besar Pengujian Minyak dan Gas Bumi (LEMIGAS)."
"ekonomi","Kepesertaan BPJS Kesehatan ada yang diperoleh dari perusahaan ataupun secara mandiri. Bagaimana jika tidak mampu membayar BPJS mandiri?"
"ekonomi","Harga minyak naik hingga 0,3 persen usai Trump batalkan perjanjian lisensi Chevron di Venezuela, serta peluang damai Ukraina-Rusia."
"ekonomi","Erick memberi contoh SWF negara lain yang pengelolaannya bisa ditiru Danantara seperti Temasek Singapura hingga China Investment Corporation (CIC)."
"ekonomi","Bos PT Pegadaian Damar Latri Setiawan mengatakan dengan menjadi nasabah Bank Emas, masyarakat bisa untung dari imbal jasa dan bunga emas."
"ekonomi","Kehadiran bank emas memicu Freeport terus menambah produksi emas untuk kebutuhan nasional sehingga mengurangi ketergantungan impor emas."
"ekonomi","DJP menyebut Eks Kepala Kanwil Pajak Jakarta Khusus Muhammad Haniv yang kini jadi tersangka gratifikasi sudah tak aktif sejak Januari 2019."
"ekonomi","Nilai tukar rupiah dibuka turun 0,15 persen ke posisi Rp16.405 per dolar AS pada perdagangan pasar spot pada Kamis (27/2) pagi."
"ekonomi","Tony Wenas menyebut perusahaan gaji karyawan, biaya operasional dan pengeluaran lain yang menggunakan dolar hasil ekspor."
"ekonomi","Menko Pangan Zulhas menyebut harga cabai jelang Ramadhan tembus Rp62 ribu. Mahalnya harga cabai mempengaruhi inflasi."
"ekonomi","Bank emas dapat memperkuat stabilitas ekonomi dan memperkuat cadangan devisa meski ekonom mewanti-wanti potensi fraud hingga likuiditas emas."
"ekonomi","Gaji dirut Pertamina Patra Niaga diperkirakan mencapai Rp21,8 miliar jika mengacu pada laporan keuangan perusahaan dan peraturan menteri BUMN."
"ekonomi","Sejumlah lahan pertanian di Pulau Jawa dialihfungsikan untuk industri sampai perumahan sehingga lumbung pangan baru akan dibangun di luar Jawa."
"ekonomi","IHSG diprediksi melemah hari ini (27/2) karena indeks saham masih berpotensi mengalami tekanan jual lanjutan."
"ekonomi","Presiden Prabowo resmikan Bank Emas Pegadaian dan BSI, BRI Group optimis tingkatkan PDB, lapangan kerja, dan devisa ekonomi nasional."
"ekonomi","Erick dalam kesempan ini mengamini BSI dan PT Pegadaian yang bersama PNM menginduk ke holding ultramikro BRI diberi penugasan terhadap Bank Emas tersebut."
"ekonomi","Deposito emas di Pegadaian melesat hingga 300 kilogram dalam dua pekan setelah perusahaan dapat izin usaha layanan bank emas."
"ekonomi","BRI Menanam - Grow dan Green bantu pulihkan terumbu karang di Pulau Maratua, tingkatkan ekonomi nelayan, dan dorong ekowisata lewat konservasi berkelanjutan."
"ekonomi","Bahlil mendorong pendanaan dari Danantara pada tahap pertama untuk pembangunan kilang minyak dan tempat penyimpanan BBM."
"ekonomi","Erick menegaskan peralihan BUMN ke Danantara pada akhirnya mesti dilakukan seluruhnya bersamaan jika melihat contoh SWF negara lain."
"ekonomi","Telkom hadirkan solusi AI inovatif untuk perkuat ekosistem digital nasional dan tingkatkan efisiensi di sektor industri Indonesia."
"ekonomi","Menteri Koordinator Bidang Pangan Zulkifli Hasan menegaskan alokasi kredit usaha rakyat (KUR) untuk petani di 2025 sangat besar, yakni tembus Rp300 triliun."
"ekonomi","Erick menegaskan pembagian tugas dengan Bos Danantara Rosan akan menyesuaikan dengan ketentuan dalam UU BUMN."
"ekonomi","Sejumlah perusahaan penyedia bahan bakar minyak (BBM) di tanah air memastikan stok dalam kondisi aman menjelang musim mudik Lebaran 2025."
"olahraga","Mohamed Salah tampil impresif bersama Liverpool pada musim ini. Ia pun kini ada di atas angin dalam pembicaraan soal perpanjangan kontrak."
"olahraga","Elkan Baggott mendapatkan pujian dari media Inggris menjelang pengumuman pemain Timnas Indonesia untuk Kualifikasi Piala Dunia 2026 periode Maret 2025."
"olahraga","Alex Marquez mengalahkan Marc Marquez pada sesi practice MotoGP Thailand 2025. Sementara Francesco Bagnaia gagal lolos otomatis ke Q2 babak kualifikasi."
"olahraga","Sebanyak 11 wakil Indonesia akan bertanding dalam turnamen Badminton Asia Championships 2025 yang akan berlangsung di Ningbo, China, 8-13 April mendatang."
"olahraga","Persipura Jayapura berhasil mengalahkan Persibo Bojonegoro dengan skor 2-1 dalam laga playoff degradasi Liga 2. Boaz Solossa cetak gol kemenangan di laga ini."
"olahraga","Pembalap Indonesia, Mario Aji, meraih hasil practice terbaiknya di kelas Moto2 setelah merebut posisi empat pada sesi practice Moto2 Thailand 2025."
"olahraga","Federasi Sepak Bola Australia (FA) akan menjual tiket tambahan pertandingan Australia vs Indonesia pada 3 Maret mendatang."
"olahraga","Penyerang Persib Bandung, David da Silva, mengaku Surabaya selalu menjadi rumah kedua baginya jelang laga kontra Persebaya."
"olahraga","Pengamat sepak bola asal Malaysia, Keeshaanan Sundaresan, memuji langkah PSSI merekrut Jordi Cruyff untuk menjadi penasihat teknis Timnas Indonesia."
"olahraga","Empat pembalap muda potensial binaan PT Astra Honda Motor (AHM) siap mengharumkan nama bangsa jelang balapan Asia Talent Cup 2025."
"olahraga","Timnas Irak menolak menghadapi Palestina di Yerusalam dan Yordania pada lanjutan Kualifikasi Piala Dunia 2026 zona Asia, 25 Maret mendatang."
"olahraga","Direktur Utama Permodalan Nasional Madani (PNM) Arief Mulyadi meyakini keputusan pihaknya mendukung Liga Nusantara sebagai keputusan tepat."
"olahraga","Marc Marquez unggul atas Franco Morbidelli pada latihan bebas pertama (FP1) MotoGP Thailand 2025 yang berlangsung di Sirkuit Buriram, Jumat (28/2)."
"olahraga","Mike Tyson mengaku Muhammad Ali adalah petinju terbaik dan akan mengalahkannya andai keduanya bertarung di atas ring tinju."
"olahraga","Sejumlah bintang Manchester United dikabarkan marah terhadap Ruben Amorim yang menyalahkan para pemain atas PHK lebih dari 200 karyawan."
"olahraga","Pelatih Hillstate Kang Sung-hyung merasa senang dengan kerja sama anak asuhnya saat takluk dari Hi Pass dalam lanjutan putaran keenam Liga Voli Korea."
"olahraga","Para pembalap MotoGP 2025 melakukan foto bersama jelang MotoGP Thailand 2025 tanpa kehadiran Jorge Martin yang absen dari balapan."
"olahraga","Match fixing sering disebut dalam perjalanan dunia olahraga. Apa itu match fixing?"
"olahraga","Persipura Jayapura akan melawan Persibo Bojonegoro dalam laga playoff degradasi Liga 2. Berikut jadwal pertandingan Persipura vs Persibo."
"olahraga","AC Milan kembali menelan kekalahan kali ini dari tuan rumah Bologna dengan skor 1-2 dalam laga tunda pekan kesembilan Liga Italia."
"olahraga","Liverpool kini tinggal menunggu waktu untuk memastikan diri sebagai juara Liga Inggris musim 2024/2025."
"olahraga","PSSI mengagendakan Timnas Indonesia U-17 melakoni dua pertandingan uji coba sebelum tampil di Piala Asia U-17 2025 Arab Saudi, April mendatang."
"olahraga","Hillstate menelan kekalahan dari Hi Pass dan nasib sial Red Sparks di Liga Voli Korea menjadi berita terpopuler olahraga."
"olahraga","Federasi Sepak Bola Turki (TFF) menjatuhkan sanksi kepada pelatih Fenerbahce, Jose Mourinho imbas komentar yang disebut berbau rasis."
"olahraga","Laga grup C tempat Timnas Indonesia berada kembali bergulir di bulan Maret. Berikut jadwal lengkap grup C babak ketiga Kualifikasi Piala Dunia 2026 zona Asia."
"olahraga","Timnas Jepang bisa memastikan diri lolos ke Piala Dunia 2026 pada tanggal 20 Maret 2025 mendatang. Saat itu Jepang menghadapi Bahrain."
"olahraga","Mohamed Salah menunjukkan performa luar biasa musim ini saat mengantar Liverpool tampil dominan. Ia jadi pemuncak dalam daftar top skor dan top assist."
"olahraga","PNM Liga Nusantara musim 2024/2025 rampung digelar, di mana Sumut United FC menjadi kampiun. Berikut daftar penghargaan kompetisi kasta ketiga PSSI ini."
"olahraga","Arsenal menjalani bulan Februari dengan catatan yang kurang menyenangkan. Mereka tersisih di ajang Piala Liga dan mulai tertinggal jauh dari Liverpool."
"olahraga","MotoGP Thailand 2025 akan jadi seri balap pembuka musim diawali Free Practice, Kualifikasi, Sprint Race, dan Race. Berikut jadwal Free Practice MotoGP Thailand."
"olahraga","Marc Marquez mengirimkan pesan pribadi kepada Jorge Martin yang mengalami cedera patah tulang jelang seri pembuka MotoGP 2025."
"olahraga","Red Sparks bakal mencari pengganti Vanja Bukilic yang cedera. Artinya, Megawati akan punya pasangan baru di lini serang Red Sparks pada playoff Liga Voli Korea."
"olahraga","PSSI melalui Yayasan Bakti Sepak Bola Indonesia bersama PT Trimegah Sekuritas Indonesia meluncurkan produk investasi Reksa Dana Trimegah Sepak Bola Merah Putih."
"olahraga","Sumut United FC juara PNM Liga Nusantara 2024/2025 setelah mengalahkan Tornado FC 4-1 pada laga final di Stadion Indomilk Arena, Tangerang, Kamis (27/2) malam."
"olahraga","Kekalahan yang dialami oleh Hillstate membuat Red Sparks masih memegang kendali dalam perebutan posisi kedua di Liga Voli Korea musim ini."
"olahraga","Juara dunia MotoGP 2024 Jorge Martin harus menelan kenyataan pahit karena ia dinyatakan bakal absen di seri kedua musim ini yaitu MotoGP Argentina."
"olahraga","Hillstate menelan kekalahan 1-3 (21-25, 25-13, 21-25, 17-25) dari Hi Pass dalam pertandingan Liga Voli Korea Selatan, Kamis (27/2)."
"olahraga","Pertandingan final PNM Liga Nusantara 2024/2025 dibuka sesi mengheningkan cipta untuk almarhum Bejo Sugiantoro di Stadion Indomilk Arena, Kamis (27/2)."
"olahraga","Marselino Ferdinan mendapat pengalaman berharga yang bisa dibawa saat membela Timnas Indonesia meski jarang mendapat menit bermain di Oxford United."
"olahraga","Mantan manajer Valentino Rossi Carlo Pernat menilai Francesco Bagnaia punya peluang unggul atas Marc Marquez dalam perburuan juara MotoGP 2025."
"olahraga","Marselino Ferdinan menantikan perubahan filosofi taktik Timnas Indonesia di bawah arahan pelatih asal Belanda, Patrick Kluivert."
"olahraga","Ketua Umum PSSI, Erick Thohir berencana mengundang enam klub Eropa untuk mengikuti Piala Presiden 2025, Juli mendatang. Sudah ada satu tim yang memberi jawaban."
"olahraga","Marselino Ferdinan memiliki keyakinan besar Timnas Indonesia bisa lolos ke Piala Dunia 2026."
"olahraga","Ketua Umum PSSI Erick Thohir menargetkan tiga pemain naturalisasi Emil Audero, Dean James, dan Joey Pelupessy didaftarkan ke FIFA sebelum 10 Maret mendatang."
"olahraga","Pelatih asal Belanda Frank van Kempen disebut-sebut bakal menjadi asisten pelatih Timnas Indonesia U-23. Berikut profil Frank van Kempen."
"olahraga","Persipura Jayapura, salah satu klub legendaris Indonesia yang sudah lama dikenal sebagai raksasa sepak bola Tanah Air, kini terancam jatuh ke Liga 3."
"olahraga","Declan Rice dilaporkan ribut dengan bek Gabriel Magalhaes setelah Arsenal ditahan Nottingham Forest 0-0, Kamis (27/2) dini hari WIB."
"olahraga","Jawaban Erick Thohir soal Frank van Kempen jadi asisten pelatih Timnas Indonesia U-23 mendampingi Gerald Vanenburg sebagai pelatih kepala."
"olahraga","Manchester United resmi tak bisa merebut gelar juara Liga Inggris musim ini setelah Liverpool meraih kemenangan atas Newcastle, Kamis (27/2)."
"olahraga","Berikut jadwal Bologna vs AC Milan dalam laga tunda Liga Italia Serie A yang krusial dalam persaingan ke zona Eropa."
"olahraga","Direktur KTM Motorsport Pit Beirer menyebut Pedro Acosta mirip dengan legenda Formula 1, Michael Schumacher, menjelang MotoGP Thailand 2025, akhir pekan ini."
"olahraga","Legenda tinju Ellyas Pical dirawat di RS Harapan Kita Jakarta karena serangan jantung pada 20 Februari dan kini kondisinya mulai membaik."
"olahraga","Liga voli Korea Selatan akan memasuki fase playoff perburuan juara, namun Megawati Hangestri Pertiwi dan Red Sparks kembali menghadapi nasib sial."
"olahraga","Gregoria Mariska Tunjung yang baru saja menikah dengan Mikha Angelo tidak langsung menjalani bulan madu. Gregoria langsung fokus persiapan menuju All England."
"olahraga","Media Belanda, De Limburger dan NU Horst Aan De Maas, melaporkan bahwa Frank van Kempen akan bergabung dengan tim pelatih Timnas Indonesia."
"olahraga","Pembalap Ducati Marc Marquez diprediksi bakal 'menggila' dalam seri pembuka MotoGP 2025 di MotoGP Thailand 2025 di Sirkuit Buriram, akhir pekan ini."
"olahraga","Alwi Farhan antusias berjumpa Viktor Axelsen di babak 16 besar German Open 2025 hari Kamis (27/2)."
"olahraga","Tiket pertandingan Timnas Indonesia vs Bahrain dalam lanjutan Kualifikasi Piala Dunia 2026 pada 25 Maret 2025 akan dijual mulai 4 Maret."
"olahraga","Ajang balap MotoGP menggunakan sistem perhitungan poin yang turut menentukan posisi di klasemen. Bagaimana perhitungan poin di MotoGP?"
"olahraga","Real Betis memenangkan banding terhadap sanksi kartu merah Antony. Sang winger berkesempatan main lawan Real Madrid pada akhir pekan ini."
"olahraga","Liverpool setidaknya masih membutuhkan 20 poin lagi untuk memastikan gelar Premier League 2024/2025."
"olahraga","Marc Marquez mengaku grogi menjelang debut bersama Ducati dalam balapan resmi pada seri pembuka MotoGP 2025 di MotoGP Thailand 2025, akhir pekan ini."
"olahraga","Dean James yang sedang diupayakan dinaturalisasi untuk Timnas Indonesia mencetak sebuah assist menawan ketika Go Ahead Eagles menghajar PSV Eindhoven."
"olahraga","Kemenangan Liverpool atas Newcastle United dalam laga Kamis (27/2) dini hari membawa The Reds berada di jalur yang tepat dalam mengejar Manchester United."
"olahraga","Red Sparks dihantam badai cedera menjelang playoff Liga Voli Korea 2024/2025. Bagaimana peluang Red Sparks ke peringkat kedua musim reguler?"
"olahraga","Berikut jadwal siaran langsung PSGC vs Persiba dalam laga perebutan peringkat ketiga Liga 3, Kamis (27/2)."
"olahraga","Setiap orang punya hobi dan begitu mencintainya. Begitu pula dengan Mike Tyson yang senang memelihara burung dara sejak masih muda."
"olahraga","Andalan Indonesia pada nomor tunggal putra, Alwi Farhan, akan melawan Viktor Axelsen dalam babak 16 besar German Open 2025, Kamis (27/2)."
"olahraga","Kans Liverpool menjuarai Liga Inggris musim ini dilaporkan mencapai 98,7 persen setelah menang 2-0 atas Newcastle United, Kamis (27/2) dini hari WIB."
"olahraga","Peluang Liverpool juara Liga Inggris makin terbuka lebar usai menang 2-0 atas Newcastle United dalam laga ke-27 di Stadion Anfield, Kamis (27/2) dini hari WIB."
"olahraga","Kehadiran Jordi Cruyff sebagai penasihat teknis diharapkan membuka peta jalan buat Indonesia meraih sukses di pentas internasional."
"olahraga","Red Sparks berpeluang digusur Hillstate dalam klasemen Liga Voli Korea hari ini, Kamis (27/2), setelah kalah dari GS Caltex, Rabu (26/2)."
"olahraga","Rachmat Irianto memberikan pesan menyentuh kepada mendiang Bejo Sugiantoro setelah dimakamkan pada Rabu (26/2)."
"olahraga","MotoGP 2025 akan diwarnai kehadiran tiga rookie, yakni Fermin Aldeguer, Oi Ogura, dan Somkiat Chantra. Bisa apa ketiganya pada musim ini?"
"olahraga","Berita tentang kekalahan Red Sparks dan kemenangan Liverpool jadi artikel yang paling banyak dibaca dalam 24 jam terakhir."
"olahraga","Klasemen Liga Inggris mengalami perubahan setelah Liverpool meraih kemenangan dan Arsenal harus puas dengan hasil imbang."
"olahraga","Juventus yang bertindak sebagai tuan rumah harus menerima kenyataan pahit disingkirkan Empoli pada babak perempat final Coppa Italia."
"olahraga","Liverpool meraih kemenangan 2-0 atas Newcastle United pada pekan ke-27 Liga Inggris sekaligus menjauh dari Arsenal."
"olahraga","Arsenal, Manchester City, dan Manchester United meraih hasil yang berbeda pada pekan ke-27 Liga Inggris."
"olahraga","Pelatih GS Caltex Lee Young Taek sangat gembira tim asuhannya bisa mengalahkan salah satu tim calon juara Red Sparks."
"olahraga","Pelatih Timnas Indonesia U-17 Nova Arianto merasa tidak terbebani dengan target yang diberikan PSSI untuk membawa timnya lolos ke Piala Dunia U-17 2025."
"olahraga","Miliano Jonathans adalah salah satu pemain yang berpotensi dinaturalisasi Timnas Indonesia. Namun sejauh ini Jonathans belum bersedia."
"olahraga","Megawati Hangestri Pertiwi belum memecahkan rekor poin pribadi miliknya di babak reguler musim lalu. Megawati kini tinggal berjarak delapan angka lagi."
"olahraga","Legenda balap motor, Loris Capirossi menyebut Ducati melakukan langkah berani dengan merekrut Marc Marquez untuk musim ini."
"olahraga","PSIM Yogyakarta menahbiskan diri sebagai juara Liga 2 musim ini setelah menang 2-1 lewat babak perpanjangan waktu atas Bhayangkara FC."
"olahraga","Australia akan menghadapi Arab Saudi pada pertandingan final Piala Asia U-20 2025 setelah berlangsungnya babak semifinal pada Rabu (26/2)."
